State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Mohali,"Kharar APMC",Onion,Other,Non-FAQ,21/04/2026,1300,2000,1500
Punjab,Mohali,"Kharar APMC",Tomato,Tomato,Non-FAQ,21/04/2026,1500,3000,2500
Punjab,Mohali,"Kharar APMC",Capsicum,Capsicum,Local,21/04/2026,1200,1500,1300
"Uttar Pradesh",Mirzapur,"Ahirora APMC",Wheat,Wheat,Non-FAQ,21/04/2026,2425,2450,2450
"Uttar Pradesh",Mirzapur,"Ahirora APMC","Bhindi(Ladies Finger)",Bhindi,Medium,21/04/2026,2000,2200,2100
"Uttar Pradesh",Mirzapur,"Ahirora APMC",Cauliflower,Cauliflower,Medium,21/04/2026,1600,1800,1700
"Madhya Pradesh",Indore,"Indore(F&V) APMC",Apple,Apple,Local,21/04/2026,4000,12000,9000
"Madhya Pradesh",Indore,"Indore(F&V) APMC",Ginger(Green),"Green Ginger",Local,21/04/2026,1500,4500,3000
"Madhya Pradesh",Indore,"Indore(F&V) APMC",Mango,Other,Local,21/04/2026,6000,13000,8000
"Madhya Pradesh",Indore,"Indore(F&V) APMC",Cabbage,Cabbage,Local,21/04/2026,200,600,400
"Madhya Pradesh",Indore,"Indore(F&V) APMC",Pomegranate,Pomogranate,Local,21/04/2026,2500,9000,4500
"Madhya Pradesh",Indore,"Indore(F&V) APMC",Drumstick,Drumstick,Local,21/04/2026,1500,3500,2500
"Madhya Pradesh",Indore,"Indore(F&V) APMC",Pumpkin,Pumpkin,Local,21/04/2026,600,1200,800
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Tomato,Tomato,Local,21/04/2026,800,800,800
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Cucumbar(Kheera),Cucumbar,Local,21/04/2026,1000,1000,1000
Rajasthan,Beawar,"Bijaynagar APMC",Potato,Other,Local,21/04/2026,400,700,550
Chattisgarh,Durg,"Durg APMC",Lemon,Lemon,Medium,21/04/2026,12000,14000,14000
Chattisgarh,Durg,"Durg APMC",Cucumbar(Kheera),Cucumbar,Medium,21/04/2026,1600,2000,2000
Chattisgarh,Durg,"Durg APMC","Pointed gourd(Parval)","Pointed gourd (Parval)",Medium,21/04/2026,3800,4000,3800
Chattisgarh,Durg,"Durg APMC","Other green and fresh vegetables","Other green and fresh vegetables-Organic",Local,21/04/2026,1000,14000,7500
Chattisgarh,Durg,"Durg APMC",Yam,Yam,Medium,21/04/2026,2800,3000,2800
